Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,July,August,September,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Floods/TC,Ethiopia,ETH,FL,Flood,INFORM risk-score API,5.7,August,High,1,1,1.6,5.7,2.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Benin,BEN,FL,Flood,INFORM risk-score API,5.1,July,High,1,1,5.1,1.0,3.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea,GIN,FL,Flood,INFORM risk-score API,5.1,August,High,1,1,2.6,5.1,3.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Uganda,UGA,FL,Flood,INFORM risk-score API,5.1,August,High,1,1,1.3,5.1,3.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Senegal,SEN,FL,Flood,INFORM risk-score API,4.8,August,Medium,1,0,1.2,4.8,3.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Burkina Faso,BFA,FL,Flood,INFORM risk-score API,4.6,July,Medium,3,0,4.6,3.8,3.8,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Sierra Leone,SLE,FL,Flood,INFORM risk-score API,4.6,August,Medium,1,0,0.9,4.6,0.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Togo,TGO,FL,Flood,INFORM risk-score API,4.3,August,Medium,2,0,2.9,4.3,4.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,South Africa,ZAF,FL,Flood,INFORM risk-score API,4.2,August,Medium,1,0,3.3,4.2,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Ghana,GHA,FL,Flood,INFORM risk-score API,4.1,July,Medium,1,0,4.1,2.5,1.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,"Gambia, Republic of The",GMB,FL,Flood,INFORM risk-score API,3.5,July,Low,3,0,3.5,2.3,3.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea-Bissau,GNB,FL,Flood,INFORM risk-score API,3.3,July,Low,3,0,3.3,3.3,3.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Somalia,SOM,FL,Flood,INFORM risk-score API,3.3,August,Low,2,0,0.8,3.3,2.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Eritrea,ERI,FL,Flood,INFORM risk-score API,3.1,July,Low,1,0,3.1,1.6,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Côte d'Ivoire,CIV,FL,Flood,INFORM risk-score API,2.8,July,Low,1,0,2.8,0.9,0.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Rwanda,RWA,FL,Flood,INFORM risk-score API,1.3,September,Very Low,3,0,0.0,0.0,1.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Botswana,BWA,FL,Flood,INFORM risk-score API,1.2,July,Very Low,3,0,1.2,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Kenya,KEN,FL,Flood,INFORM risk-score API,1.1,August,Very Low,3,0,0.0,1.1,0.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Democratic Republic of Congo,COD,FL,Flood,INFORM risk-score API,0.9,July,Very Low,3,0,0.9,0.0,0.9,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Burundi,BDI,FL,Flood,INFORM risk-score API,0.7,August,Very Low,3,0,0.0,0.7,0.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mozambique,MOZ,FL,Flood,INFORM risk-score API,0.4,July,Very Low,3,0,0.4,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Cabo Verde,CPV,FL,Flood,INFORM risk-score API,0.1,July,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Comoros,COM,FL,Flood,INFORM risk-score API,0.1,July,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mauritius,MUS,FL,Flood,INFORM risk-score API,0.1,July,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sao Tome and Principe,STP,FL,Flood,INFORM risk-score API,0.1,July,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Seychelles,SYC,FL,Flood,INFORM risk-score API,0.1,July,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Angola,AGO,FL,Flood,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Congo,COG,FL,Flood,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Djibouti,DJI,FL,Flood,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Equatorial Guinea,GNQ,FL,Flood,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
