Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,November,December,January,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Floods/TC,Mauritania,MRT,FL,Flood,INFORM risk-score API,1.1,January,Very Low,3,0,0.0,0.0,1.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Benin,BEN,FL,Flood,INFORM risk-score API,1.0,November,Very Low,3,0,1.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Rwanda,RWA,FL,Flood,INFORM risk-score API,0.6,November,Very Low,3,0,0.6,0.0,0.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Senegal,SEN,FL,Flood,INFORM risk-score API,0.6,January,Very Low,3,0,0.0,0.0,0.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Cabo Verde,CPV,FL,Flood,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Comoros,COM,FL,Flood,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mauritius,MUS,FL,Flood,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sao Tome and Principe,STP,FL,Flood,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Seychelles,SYC,FL,Flood,INFORM risk-score API,0.1,November,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burkina Faso,BFA,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Cameroon,CMR,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Chad,TCD,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Côte d'Ivoire,CIV,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Djibouti,DJI,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Equatorial Guinea,GNQ,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Eritrea,ERI,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Gabon,GAB,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,"Gambia, Republic of The",GMB,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Ghana,GHA,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea,GIN,FL,Flood,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
