Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,March,April,May,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Floods/TC,"Gambia, Republic of The",GMB,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Ghana,GHA,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea,GIN,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea-Bissau,GNB,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Kenya,KEN,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Lesotho,LSO,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Liberia,LBR,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Mali,MLI,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Mauritania,MRT,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Namibia,NAM,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Niger,NER,TC,Tropical Cyclone,INFORM risk-score API,0.0,March,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
